ID,att_0,att_1,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9,att_10,att_11,att_12,att_13,NewRating
909,,,,,,,,,,,,,,,1.0
1220,,,0.0,,,,,,,,0.0,0.0,,,0.0
1582,,,,,,,,,,,,,,,1.0
1581,,,,,,,,,,,,,,,1.0
1338,,,,,,,,,,,,,,,1.0
1459,1.0,,,,,0.0,,,,,,0.0,,,1.0
1216,,0.7,0.0,,,,,,0.0,,0.0,0.0,,,1.0
1458,,,,,,,,,,,,,,,1.0
1578,,,,,,,,,,,,,,,1.0
1214,,,,,,,1.0,,,,,1.0,,,0.0
1335,,,,,,,,,,,,,,,0.0
1577,,,,,,,,,,,,,,,1.0
1213,,,,,,,,,,,,,,,1.0
1334,,,,,,,,,,,,,,,1.0
1697,,,,,,,,,,,,,,,0.0
1212,,,,,,,,,,,,,,,1.0
1333,,,,,,,,,,,,,,,0.0
1696,,,,,,,,,,,0.0,0.0,0.75,,0.0
1453,,,,,,,,,,,,,,,0.0
1695,,,,,,,,,,,,,,,0.0
1452,,,,,,,1.0,,1.0,0.7,1.0,,1.4,1.0,1.0
911,,0.845,,,,,,,,,,,,,1.0
914,,,,,,,,,,,,,,,0.0
918,,,,,,,,,,,,,,,1.0
919,1.0,,,,,,,,,,,,0.7,,0.0
1231,,,,,,,,,,,,,,,0.0
1593,,,,,,,,,,,,,,,0.0
1592,,,,,,,,,,,,,,,0.0
1470,,,,,,,,,,,,,,,1.0
1591,,,,,,,,,,,,,,,1.0
1590,,,,,,,,,,,,,,,0.0
1,,,,,,,,,,,,,,,1.0
1227,,,,,,,,,,,,,,,0.0
1348,,,,,,,,,,,,,,,0.0
1226,,,,,,,,,,,,,,,0.0
1468,,,,,,,,,,,,,,,0.0
3,,,,,,,,,,,,,,,0.0
1104,,,0.0,,0.7,,,,,,,1.0,0.7,,1.0
1225,,,,1.0,,,,,,,,,0.7,0.0,1.0
1346,,,,,,,,,,,,,,,0.0
1467,,,,,,,,,,,,,,,0.0
1588,,,,,,,,,,,,,,,0.0
4,,,,,,,,,,,1.0,,,,1.0
1103,1.0,,,,,,,,,,0.0,,,0.0,1.0
1345,1.0,,,,,0.0,,,,,,0.0,,,1.0
1466,,,,,,,,,,,,,,,0.0
1344,,,,,,,,,,,,,,,0.0
6,1.0,,,,0.64,,,,0.0,,,,,,0.0
1343,,,,,,,,,,,,,0.7,,1.0
7,,,,,,,,,,,,,,,1.0
1221,,,,,,,,,,,,,,,0.0
1342,,,,,,,,,,,,,,,0.0
1463,,,,,,,,,,,,,,,1.0
8,,,,1.0,0.7,,1.0,,1.0,0.7,2.0,1.0,3.55,2.0,1.0
800,,,,,,,1.0,,,,,1.0,,,0.0
922,,,,0.0,,,0.0,,,,,0.0,0.7,,0.0
802,,,,,,,,,,,,,,,1.0
924,,,,,,,,,,,,,,,1.0
804,,0.69,,,,,,,,,,,,,0.0
925,,,,,,,,,,,,,,,1.0
806,,,,,,,,,,,,,,,1.0
927,,,,,,,,,,,,1.0,0.72,,1.0
1109,,,,,,,,,,,,,,,0.0
808,,,,,,,,,,,,,0.7,,1.0
929,,,,,,,,,,,,,,,0.0
809,,,,,,,,,,,,0.0,,,0.0
1242,,,,,,,,,1.0,,,,0.7,2.0,1.0
1241,2.0,,,,0.64,,0.0,,0.0,,1.0,,1.29,,1.0
1483,,,,,,,,,,,,,,,1.0
1482,,,,,,,,,,,,,,,1.0
1359,,,,,,,,,,,0.0,,,,1.0
1236,,,,,,,,,,,,,,,0.0
1357,,,,,,,,0.75,0.0,,,,,,1.0
1478,,,,,,,,,,,,,,,0.0
1599,,,,0.0,,,0.0,,,,,,0.71,,0.0
1356,,,,,,,,,,,,,,,1.0
1598,,,,,,,,,,,,,,,0.0
1113,,,,,,,,,,,,,,,0.0
1234,,,,,,,,,,,,,,,1.0
1476,,,,,,,,,,,,,,,1.0
1233,,,,,,,,,,,,,,,0.0
1111,,,,,,,,,,,,,,,0.0
1232,,,,,,,,,,,1.0,,0.7,,1.0
1595,,,,,,,,,,,,,,,0.0
932,,,,,,,,,,,,,,,0.0
933,,,,,,,,,,,,,,,0.0
935,,,,,,,,0.75,,,,1.0,,,0.0
815,,,,,,,,,,,,,,,1.0
937,,,,,,,,,,,,,,,1.0
939,,,,,,,,,,,,,,,0.0
819,,,,,,1.0,,0.75,,,,1.0,3.0,0.0,1.0
1132,,,,,,,,,,,,,,,0.0
1253,,,,,,,,,,,,,,,1.0
1374,,,,,,,,,,,,,,,1.0
1010,,,,,,,,,,,,,,,0.0
1131,,,,,,,,,,,,,,,1.0
1373,,,,,,,,,,,,,,,0.0
1494,,,,0.0,,,0.0,,,,,0.0,0.7,,1.0
1130,,,,,,,,,,,,,,,1.0
1372,,,,,,,,,,,,,,,1.0
1250,0.0,0.72,,,,0.0,1.0,,,,,1.0,1.75,,0.0
1492,,,,0.0,,,,,,,,,,,0.0
1491,,,,,,,,,,,,,,,0.0
1129,,,,,,,,,,,,,,,1.0
1007,,,,,,,,,,,,,,,0.0
1249,,,,,,,,,1.0,,,,,1.0,0.0
1006,,,,,,,,0.75,,,,1.0,3.0,0.0,1.0
1368,,,,,,,,,,,,,,,0.0
1125,,,,,,,,,0.0,,,,0.6,,0.0
1246,,,,,,,,,,,0.0,0.0,,,0.0
1367,,,,,,,,,,,,,,,0.0
1488,,,,,,,,,,,,,,,0.0
940,,,,,,,,,,,,,,,0.0
1003,,,,,,,,,,,,,,,0.0
1124,,,,,,,,,,,,,,,0.0
1366,2.0,,,,0.64,,0.0,,0.0,,1.0,,1.98,,1.0
941,,,,1.0,,,,,,,,1.0,,,1.0
1002,,,,,,,,,,,,,,,0.0
1365,,,,,,,,,,,,1.0,,,1.0
700,,,,,,,,,,,,,,,0.0
821,,,,,,,,,,,,,,,0.0
1001,,,,,,,,,,,,,,,0.0
1243,,,,,,,,,,,,,,,0.0
1364,,,,,,,,,,,,1.0,2.0999999999999996,,1.0
1485,,,,,,,,,,,,,,,0.0
701,,,,,,,,,,,,,0.7,,0.0
943,,,,,,,,,,,,1.0,,,1.0
702,,,,,,,,,,,,,,,0.0
704,,,,,,,,,0.0,,,,0.6,,0.0
706,,,1.0,,,,,,,,,1.0,,,1.0
827,,,,,,,,,,,,,,,0.0
707,,,,,,,,,,,,,,,0.0
828,1.0,,,,,0.0,,,,,,0.0,,,1.0
708,,,,,,,,,,,,,,,1.0
1009,,,,,,,,,,,,,,,0.0
1263,,,,,,,,,,,,,,,0.0
1020,,,,,,,,,,,,,,,0.0
1383,,,,,,,,0.75,,,,1.0,3.0,,0.0
1381,,,,1.0,0.7,,1.0,,1.0,0.7,2.0,,2.8,2.0,1.0
1138,,0.7,,,,,,,,,1.0,,0.7,,1.0
1259,,,1.0,,,,,,,,,,,,0.0
1016,,,,,,,,,,,,,,,0.0
1379,,,,,,,,,,,,,,,0.0
1015,,,,,,,,,,,,,,,0.0
1136,,,,,,,,0.75,0.0,,,,,1.0,1.0
1257,,,,,,,,,,,,,,,1.0
1378,,,1.0,,,,,,,,0.0,1.0,,1.0,1.0
1499,,,,,,,,,,,,,,,0.0
951,,,,,,,,,,,,,,,1.0
1377,,,,,,,,,,,,,,,1.0
1013,,,,,,,,,,,,,,,1.0
1134,,,,,,,,,,,,,,,0.0
1376,,,,,,,,,,,,,,,0.0
1012,,,,,,,,,,,,0.0,,,1.0
1133,,,,,,,,,,,,,,,0.0
1254,,,,,,,,,,,,,,,1.0
712,,,,,,,,,,,,,,,0.0
833,,,,,,,,,,,,,,,1.0
713,,,,,,,,,,,,,,,0.0
955,,,,,,,,,,,,,,,1.0
714,,0.7,,,,,,0.7,,,,,1.4,,1.0
835,,,,,,,,,,,,,,,1.0
956,,,,,,,,,,,,,,,1.0
715,,,0.0,,0.7,,,,,,,1.0,0.7,,1.0
836,,,,,,,,,,,,,,,0.0
959,,,,,,,,,,,,,,,1.0
839,,,,,,,,,1.0,,,,2.0999999999999996,3.0,0.0
1033,,,,,,,,,,,,,,,1.0
1153,,,,,,,,,,,,0.0,,,0.0
1395,,,,,,,,,,,,,,,0.0
1394,,,0.0,,0.7,,,,,,,1.0,0.7,,1.0
1030,,,,,,,,,,,,,,,0.0
1391,2.0,,,,0.64,,0.0,,0.0,,1.0,,0.65,,1.0
1149,,,,,,,,,,,,,,,0.0
1148,,,,,,,,,,,,,,,0.0
1269,,,,,0.67,,0.0,,,,,0.0,,,0.0
840,,,,,,,,,,,,,,,1.0
1026,,,,,,,,,,,,,,,0.0
1268,,,,0.0,,,,,,,,,0.81,,0.0
841,,,,,,,,,,,,,,,1.0
1146,,,,,,,,,,,,,,,0.0
1267,,,,,,,,,,,,,,,0.0
600,,,,,,,,,,,,,,,0.0
842,,,,,,,,,,,,,,,0.0
1024,,,,,,,,,,,,,,,0.0
722,,,,,,,1.0,,,,,1.0,,,1.0
964,,,,,,,,,,,,,,,0.0
1144,,,,,,,,,,,,,,,0.0
602,,,,,,,,,,,,,,,0.0
723,,0.7,,,,,,,,,,,0.7,,1.0
724,,,,,,,,,,,,,,,0.0
966,,,,,,,,,,,,,,,0.0
604,1.0,,,,,0.0,,,,,,0.0,,,1.0
728,,0.7,,,,,,0.7,,,,,2.0999999999999996,,1.0
729,0.0,0.72,,,,0.0,1.0,,,,,1.0,1.75,,1.0
1044,,,,,,,1.0,,1.0,0.7,1.0,,1.4,1.0,1.0
1165,,,,,,,,,,,,,,,0.0
